id,game_name,console,game_type,finished,published_year,played_year,hours_played,perso_score,multiplayed,fuzz,game_title,game_platform,game_release_date,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,metascore,Critic_Count,user _score,User_Count,Developer,Rating,game_summary
2,Final Fantasy VII,PS1,JRPG,TRUE,1997,2018,80,99,FALSE,Final Fantasy VII,Final Fantasy VII,PS1,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,SquareSoft,T,
3,Final Fantasy VIII,PS1,JRPG,TRUE,1998,2000,70,95,FALSE,Final Fantasy VIII,Final Fantasy VIII,PS1,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,SquareSoft,T,
4,Final Fantasy IX,PS1,JRPG,TRUE,2000,2019,70,95,FALSE,Final Fantasy IX,Final Fantasy IX,PS1,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,SquareSoft,T,
5,Final Fantasy X,PS2,JRPG,TRUE,2000,2003,200,99,FALSE,Final Fantasy X,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,SquareSoft,T,
6,Final Fantasy X-2,PS2,JRPG,TRUE,2004,2004,50,86,FALSE,Final Fantasy X-2,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,SquareSoft,T,
7,Final Fantasy XV,PS4,JRPG,TRUE,2015,2017,80,95,FALSE,Final Fantasy XV,Final Fantasy XV,PS4,2016,JRPG,Square Enix,,,,,9,81,,7.6,,,,
7,Final Fantasy XV,PS4,Open World,TRUE,2015,2017,80,95,FALSE,Final Fantasy XV,Final Fantasy XV,PS4,2016,JRPG,Square Enix,,,,,9,81,,7.6,,,,
8,Final Fantasy XVI,PS5,JRPG,TRUE,2023,2023,45,68,FALSE,Final Fantasy XVI,Final Fantasy XVI,PS5,22/06/2023,,,,,,,,87,,8.2,,,,"Introducing FINAL FANTASY XVI Coming to PlayStation 5. An all-new title in the legendary FINAL FANTASY series.  FINAL FANTASY XVI is the newest entry in the FINAL FANTASY series, coming to the PlayStation 5 (PS5) system. FINAL FANTASY XVI is an all-new standalone single player action RPG produced by Naoki Yoshida (FINAL FANTASY XIV, DRAGON QUEST X) and directed by Hiroshi Takai (FINAL FANTASY XIV, THE LAST REMNANT)."
9,Final Fantasy VII Remake,PS4,JRPG,TRUE,2020,2020,50,96,FALSE,Final Fantasy VII Remake,Final Fantasy VII Remake,PS4,2020,JRPG,Square Enix,,,,,4,88,,8,,,,
11,The Witcher 3: Wild Hunt,PS4,RPG,TRUE,2015,2018,300,100,FALSE,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,
11,The Witcher 3: Wild Hunt,PS4,Open World,TRUE,2015,2018,300,100,FALSE,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92,79,9.2,10179,CD Projekt Red Studio,M,
12,The Witcher 2: Assassins of Kings,PC,RPG,FALSE,2011,2018,15,85,FALSE,The Witcher 2: Assassins of Kings,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0,0.14,0.96,88,76,8.5,4378,CD Projekt Red Studio,M,
12,The Witcher 2: Assassins of Kings,PC,Open World,FALSE,2011,2018,15,85,FALSE,The Witcher 2: Assassins of Kings,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0,0.14,0.96,88,76,8.5,4378,CD Projekt Red Studio,M,
13,The Witcher,PC,RPG,FALSE,2008,2018,15,85,FALSE,The Witcher,The Witcher,PC,2007,Role-Playing,Atari,0,0.05,0,0.01,0.06,81,50,8.8,1116,CD Projekt Red Studio,M,
13,The Witcher,PC,Open World,FALSE,2008,2018,15,85,FALSE,The Witcher,The Witcher,PC,2007,Role-Playing,Atari,0,0.05,0,0.01,0.06,81,50,8.8,1116,CD Projekt Red Studio,M,
14,Grand Theft Auto,PC,Open World,TRUE,1997,1998,20,88,TRUE,Grand Theft Auto,Grand Theft Auto,PC,1998,Action-Adventure|Open World,Rockstar,,,,,0.4,69,,8.1,,,,
14,Grand Theft Auto,PC,Action-Adventure,TRUE,1997,1998,20,88,TRUE,Grand Theft Auto,Grand Theft Auto,PC,1998,Action-Adventure|Open World,Rockstar,,,,,0.4,69,,8.1,,,,
15,Grand Theft Auto: Vice City,PS2,Open World,TRUE,2002,2003,100,93,TRUE,Grand Theft Auto: Vice City,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,Rockstar North,M,
15,Grand Theft Auto: Vice City,PS2,Action-Adventure,TRUE,2002,2003,100,93,TRUE,Grand Theft Auto: Vice City,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,Rockstar North,M,
16,Grand Theft Auto: San Andreas,PS2,Open World,TRUE,2004,2005,200,99,TRUE,Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M,
16,Grand Theft Auto: San Andreas,PS2,Action-Adventure,TRUE,2004,2005,200,99,TRUE,Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M,
17,Grand Theft Auto IV,PS3,Open World,TRUE,2008,2016,35,94,FALSE,Grand Theft Auto IV,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,Rockstar North,M,
17,Grand Theft Auto IV,PS3,Action-Adventure,TRUE,2008,2016,35,94,FALSE,Grand Theft Auto IV,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,Rockstar North,M,
18,Grand Theft Auto V,PS3,Open World,TRUE,2013,2014,210,100,TRUE,Grand Theft Auto V,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,M,
18,Grand Theft Auto V,PS3,Action-Adventure,TRUE,2013,2014,210,100,TRUE,Grand Theft Auto V,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,M,
19,Kingdom Hearts,PS2,Action,TRUE,2002,2008,30,90,FALSE,Kingdom Hearts,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft,E,
19,Kingdom Hearts,PS2,JRPG,TRUE,2002,2008,30,90,FALSE,Kingdom Hearts,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,SquareSoft,E,
20,Kingdom Hearts II,PS2,Action,TRUE,2005,2009,50,98,FALSE,Kingdom Hearts II,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87,64,9,766,Square Enix,E10+,
20,Kingdom Hearts II,PS2,JRPG,TRUE,2005,2009,50,98,FALSE,Kingdom Hearts II,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87,64,9,766,Square Enix,E10+,
21,Kingdom Hearts III,PS4,Action,TRUE,2019,2019,40,95,TRUE,Kingdom Hearts III,Kingdom Hearts III,PS4,2018,Action|JRPG,Square Enix,,,,,7,83,,8.1,,,,
21,Kingdom Hearts III,PS4,JRPG,TRUE,2019,2019,40,95,TRUE,Kingdom Hearts III,Kingdom Hearts III,PS4,2018,Action|JRPG,Square Enix,,,,,7,83,,8.1,,,,
22,Kingdom Hearts: Birth by Sleep,PSP,Action,TRUE,2010,2017,35,92,FALSE,Kingdom Hearts: Birth by Sleep,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.63,0.41,0.75,0.26,2.06,82,62,8.6,208,Square Enix,E10+,
22,Kingdom Hearts: Birth by Sleep,PSP,JRPG,TRUE,2010,2017,35,92,FALSE,Kingdom Hearts: Birth by Sleep,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,Square Enix,0.63,0.41,0.75,0.26,2.06,82,62,8.6,208,Square Enix,E10+,
23,The Legend of Zelda: The Wind Waker,GameCube,Action-Adventure,FALSE,2002,2008,35,91,FALSE,The Legend of Zelda: The Wind Waker,The Legend of Zelda: The Wind Waker,GameCube,"Mar 24, 2003",,,,,,,,96,,,,,,"AN EVIL WIND IS RISING...

Legend has it that whenever evil has appeared, a hero named Link has arisen to defeat it. The legend continues on the surface of a vast and mysterious sea as Link sets sail in his most epic, awe-inspiring adventure yet. Aided by a magical conductor's baton called the Wind Waker, he will face unimaginable monsters, explore puzzling dungeons, and meet a cast of unforgettable characters as he searches for his kidnapped sister.

* Immerse yourself in a world unlike you've ever seen, as you sail across a vast, unexplored ocean.
* Master a magical conductor's baton known as the Wind Waker to control the wind and much more! 
* Connect to a pal's Game Boy® Advance and play cooperatively -- get hints, uncover secrets, and get help in battle! 
* Use new items like the Grappling Hook and Deku Leaf to take the fight to spectacular, massive bosses. 
* Take on hordes of incredibly animated enemies as you search through riddle-filled dungeons."
24,The Legend of Zelda: A Link to the Past,SNES,Action-Adventure,FALSE,1991,2020,20,91,FALSE,The Legend of Zelda: A Link to the Past,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,95,,8.9,,,,
25,The Legend of Zelda: Twilight Princess,Wii,Action-Adventure,FALSE,2006,2010,40,98,FALSE,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,Nintendo,T,
26,The Legend of Zelda: Link's Awakening,GameBoy,Action-Adventure,TRUE,1993,2001,20,90,FALSE,The Legend of Zelda: Link's Awakening,The Legend of Zelda: Link's Awakening,GameBoy,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83,87,,8.4,,,,
27,The Legend of Zelda: Breath of the Wild,Switch,Action-Adventure,TRUE,2016,2020,110,99,TRUE,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild,Switch,03/03/2017,,,,,,,,97,,8.7,,,,"Forget everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey. More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure.
*    Be prepared and properly equipped - With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster and stealthier.
*    Battling enemies requires strategy - The world is inhabited with enemies of all shapes and sizes. Each one has its own attack method and weaponry, so you must think quickly and develop the right strategies to defeat them.
*    amiibo compatibility - Tap the Wolf Link amiibo (sold separately) to make Wolf Link appear in game. Wolf Link will attack enemies on his own and help you find items you're searching for."
27,The Legend of Zelda: Breath of the Wild,Switch,Open World,TRUE,2016,2020,110,99,TRUE,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild,Switch,03/03/2017,,,,,,,,97,,8.7,,,,"Forget everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey. More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure.
*    Be prepared and properly equipped - With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster and stealthier.
*    Battling enemies requires strategy - The world is inhabited with enemies of all shapes and sizes. Each one has its own attack method and weaponry, so you must think quickly and develop the right strategies to defeat them.
*    amiibo compatibility - Tap the Wolf Link amiibo (sold separately) to make Wolf Link appear in game. Wolf Link will attack enemies on his own and help you find items you're searching for."
28,The Legend of Zelda: Tears of the Kingdom,Switch,Action-Adventure,FALSE,2023,2023,110,100,TRUE,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,Switch,12/05/2023,,,,,,,,96,,8.1,,,,"An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda™: Tears of the Kingdom for Nintendo Switch™. The adventure is yours to create in a world fueled by your imagination. In this sequel to The Legend of Zelda: Breath of the Wild, you’ll decide your own path through the sprawling landscapes of Hyrule and the mysterious islands floating in the vast skies above. Can you harness the power of Link’s new abilities to fight back against the malevolent forces that threaten the kingdom?"
28,The Legend of Zelda: Tears of the Kingdom,Switch,Open World,FALSE,2023,2023,110,100,TRUE,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,Switch,12/05/2023,,,,,,,,96,,8.1,,,,"An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda™: Tears of the Kingdom for Nintendo Switch™. The adventure is yours to create in a world fueled by your imagination. In this sequel to The Legend of Zelda: Breath of the Wild, you’ll decide your own path through the sprawling landscapes of Hyrule and the mysterious islands floating in the vast skies above. Can you harness the power of Link’s new abilities to fight back against the malevolent forces that threaten the kingdom?"
29,The Legend of Zelda: Ocarina of Time,N64,Action-Adventure,FALSE,1998,2017,20,92,FALSE,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,99,,9.1,,,,
30,Red Dead Redemption 2,PS4,Action-Adventure,TRUE,2018,2018,60,96,FALSE,Red Dead Redemption 2,Red Dead Redemption 2,PS4,2018,Action-Adventure|Open World,Rockstar,,,,,30,97,,8.2,,,,
30,Red Dead Redemption 2,PS4,Open World,TRUE,2018,2018,60,96,FALSE,Red Dead Redemption 2,Red Dead Redemption 2,PS4,2018,Action-Adventure|Open World,Rockstar,,,,,30,97,,8.2,,,,
31,Marvel's Spider-Man,PS4,Action,TRUE,2018,2020,30,90,FALSE,Marvel's Spider-Man,Marvel's Spider-Man,PS4,07/09/2018,,,,,,,,87,,8.7,,,,"This isn't the Spider-Man you've known before, or seen in a movie. This is an experienced Peter Parker who is more masterful in fighting major crimes in New York City. At the same time he is struggling to balance his tumultuous personal life and career while the fate of nine million New Yorkers rests upon his shoulders."
31,Marvel's Spider-Man,PS4,Platformer,TRUE,2018,2020,30,90,FALSE,Marvel's Spider-Man,Marvel's Spider-Man,PS4,07/09/2018,,,,,,,,87,,8.7,,,,"This isn't the Spider-Man you've known before, or seen in a movie. This is an experienced Peter Parker who is more masterful in fighting major crimes in New York City. At the same time he is struggling to balance his tumultuous personal life and career while the fate of nine million New Yorkers rests upon his shoulders."
32,God of War IV,PS4,Action,FALSE,2018,2020,75,99,FALSE,God of War IV,God of War IV,PS4,2018,Beat'em All,Santa Monica Studio,,,,,11,94,,9.1,,,,
32,God of War IV,PS4,Beat'em All,FALSE,2018,2020,75,99,FALSE,God of War IV,God of War IV,PS4,2018,Beat'em All,Santa Monica Studio,,,,,11,94,,9.1,,,,
33,God of War III,PS4,Action,FALSE,2015,2020,35,92,FALSE,God of War III,God of War III,PS4,2015,Action,Sony Computer Entertainment,0.24,0.29,0.01,0.1,0.65,,,,,,,
33,God of War III,PS4,Beat'em All,FALSE,2015,2020,35,92,FALSE,God of War III,God of War III,PS4,2015,Action,Sony Computer Entertainment,0.24,0.29,0.01,0.1,0.65,,,,,,,
37,Uncharted: The Nathan Drake Collection,PS4,Action-Adventure,TRUE,2015,2020,30,83,TRUE,Uncharted: The Nathan Drake Collection,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,Bluepoint Games,T,
37,Uncharted: The Nathan Drake Collection,PS4,Platformer,TRUE,2015,2020,30,83,TRUE,Uncharted: The Nathan Drake Collection,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86,78,8.1,1264,Bluepoint Games,T,
38,Uncharted 4: A Thief's End,PS4,Action-Adventure,FALSE,2016,2020,10,90,TRUE,Uncharted 4: A Thief's End,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,T,
38,Uncharted 4: A Thief's End,PS4,Platformer,FALSE,2016,2020,10,90,TRUE,Uncharted 4: A Thief's End,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,Naughty Dog,T,
39,Horizon Zero Dawn,PS4,Action-Adventure,FALSE,2017,2019,10,91,TRUE,Horizon Zero Dawn,Horizon Zero Dawn,PS4,2017,Action-Adventure|Open World,Guerrilla,,,,,11,89,,8.4,,,,
39,Horizon Zero Dawn,PS4,Open World,FALSE,2017,2019,10,91,TRUE,Horizon Zero Dawn,Horizon Zero Dawn,PS4,2017,Action-Adventure|Open World,Guerrilla,,,,,11,89,,8.4,,,,
40,Journey,PS4,Action-Adventure,TRUE,2012,2019,5,86,TRUE,Journey,Journey,PS4,21/07/2015,,,,,,,,92,,8.3,,,,"The pioneers that brought you the award-winning PlayStation Network titles flOw & Flower are back with another title that challenges traditional gaming conventions. With Journey, thatgamecompany (TGC) continues its tradition of delivering simple gameplay and accessible controls in a rich interactive environment that invites players to explore and experience emotional chords that are still uncommon in video games.

An exotic adventure with a more serious tone, Journey presents TGCs unique vision of an online adventure experience. Awakening in an unknown world, the player walks, glides, and flies through a vast and awe-inspiring landscape, while discovering the history of an ancient, mysterious civilization along the way.

Journeys innovative approach to online play encourages players to explore this environment with strangers who cross their path from time to time. By traveling together, they can re-shape the experience  creating authentic moments they will remember and discuss with others."
40,Journey,PS4,Platformer,TRUE,2012,2019,5,86,TRUE,Journey,Journey,PS4,21/07/2015,,,,,,,,92,,8.3,,,,"The pioneers that brought you the award-winning PlayStation Network titles flOw & Flower are back with another title that challenges traditional gaming conventions. With Journey, thatgamecompany (TGC) continues its tradition of delivering simple gameplay and accessible controls in a rich interactive environment that invites players to explore and experience emotional chords that are still uncommon in video games.

An exotic adventure with a more serious tone, Journey presents TGCs unique vision of an online adventure experience. Awakening in an unknown world, the player walks, glides, and flies through a vast and awe-inspiring landscape, while discovering the history of an ancient, mysterious civilization along the way.

Journeys innovative approach to online play encourages players to explore this environment with strangers who cross their path from time to time. By traveling together, they can re-shape the experience  creating authentic moments they will remember and discuss with others."
41,Heavy Rain,PS3,Narrative,TRUE,2010,2016,15,79,TRUE,Heavy Rain,Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.29,1.21,0.06,0.47,3.03,87,107,7.7,2759,Quantic Dream,M,
42,Red Dead Redemption,PS3,Action-Adventure,TRUE,2010,2016,30,92,FALSE,Red Dead Redemption,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,Rockstar San Diego,M,
42,Red Dead Redemption,PS3,Open World,TRUE,2010,2016,30,92,FALSE,Red Dead Redemption,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,Rockstar San Diego,M,
43,The Last of Us,PS3,Action-Adventure,FALSE,2011,2016,30,92,FALSE,The Last of Us,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,Naughty Dog,M,
44,Okami,PS3,Action-Adventure,TRUE,2006,2016,30,94,FALSE,Okami,Okami,PS3,2012,Action,Capcom,0,0,0.14,0,0.14,,,,,,,
45,God of War: Ghost of Sparta,PSP,Action,TRUE,2010,2020,6,81,FALSE,God of War: Ghost of Sparta,God of War: Ghost of Sparta,PSP,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1,86,73,8.4,255,Ready at Dawn,M,
45,God of War: Ghost of Sparta,PSP,Beat'em All,TRUE,2010,2020,6,81,FALSE,God of War: Ghost of Sparta,God of War: Ghost of Sparta,PSP,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1,86,73,8.4,255,Ready at Dawn,M,
46,Assassin's Creed II,PS3,Action-Adventure,TRUE,2012,2015,35,93,TRUE,Assassin's Creed II,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft Montreal,M,
46,Assassin's Creed II,PS3,Open World,TRUE,2012,2015,35,93,TRUE,Assassin's Creed II,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,Ubisoft Montreal,M,
47,Assassin's Creed III,PS3,Action-Adventure,TRUE,2014,2015,35,93,TRUE,Assassin's Creed III,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,M,
47,Assassin's Creed III,PS3,Open World,TRUE,2014,2015,35,93,TRUE,Assassin's Creed III,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,M,
48,Assassin's Creed IV: Black Flag,PS3,Action-Adventure,TRUE,2013,2016,35,94,TRUE,Assassin's Creed IV: Black Flag,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88,36,8.1,840,Ubisoft,M,
49,Assassin's Creed: Unity,PC,Action-Adventure,FALSE,2014,2018,40,93,TRUE,Assassin's Creed: Unity,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.18,0.33,0,0.04,0.55,70,10,3,1463,"Ubisoft, Ubisoft Montreal",M,
49,Assassin's Creed: Unity,PC,Open World,FALSE,2014,2018,40,93,TRUE,Assassin's Creed: Unity,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,0.18,0.33,0,0.04,0.55,70,10,3,1463,"Ubisoft, Ubisoft Montreal",M,
50,Assassin's Creed Origins,PS4,RPG,TRUE,2017,2017,70,96,TRUE,Assassin's Creed Origins,Assassin's Creed Origins,PS4,2017,Action Adventure|Open-World,Ubisoft,,,,,11,81,,7.2,,,,
50,Assassin's Creed Origins,PS4,Open World,TRUE,2017,2017,70,96,TRUE,Assassin's Creed Origins,Assassin's Creed Origins,PS4,2017,Action Adventure|Open-World,Ubisoft,,,,,11,81,,7.2,,,,
51,Assassin's Creed Odyssey,PC,RPG,TRUE,2018,2018,100,97,TRUE,Assassin's Creed Odyssey,Assassin's Creed Odyssey,PC,2018,Action Adventure|Open-World,Ubisoft,,,,,11,86,,5.9,,,,
51,Assassin's Creed Odyssey,PC,Open World,TRUE,2018,2018,100,97,TRUE,Assassin's Creed Odyssey,Assassin's Creed Odyssey,PC,2018,Action Adventure|Open-World,Ubisoft,,,,,11,86,,5.9,,,,
52,Watch Dogs,PS3,Open World,TRUE,2013,2015,30,85,FALSE,Watch Dogs,Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.81,0.1,0.27,1.74,80,,6.4,383,Ubisoft Montreal,M,
52,Watch Dogs,PS3,Action-Adventure,TRUE,2013,2015,30,85,FALSE,Watch Dogs,Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.81,0.1,0.27,1.74,80,,6.4,383,Ubisoft Montreal,M,
53,Watch Dogs 2,PC,Open World,TRUE,2016,2016,50,89,FALSE,Watch Dogs 2,Watch Dogs 2,PC,2016,Action,Ubisoft,0.37,0.58,0,0.18,1.13,83,88,7.8,621,Ubisoft Montreal,M,
53,Watch Dogs 2,PC,Action-Adventure,TRUE,2016,2016,50,89,FALSE,Watch Dogs 2,Watch Dogs 2,PC,2016,Action,Ubisoft,0.37,0.58,0,0.18,1.13,83,88,7.8,621,Ubisoft Montreal,M,
54,Sid Meier's Civilization III,PC,STR,TRUE,2001,2001,15,88,FALSE,Sid Meier's Civilization III,Sid Meier's Civilization III,PC,"Oct 30, 2001",,,,,,,,90,,,,,,"In Civilization III, you'll find new pathways to explore and strategies to employ, greatly expanded diplomacy, more powerful combat, a new trade system, new technologies, more powerful tools to build and manage your empire, and the most detailed and beautiful art, animations and sound ever found in the genre. [Infogrames]"
55,Sid Meier's Civilization V,PC,STR,TRUE,2010,2014,150,97,TRUE,Sid Meier's Civilization V,Sid Meier's Civilization V,PC,2010,Strategy,Take-Two Interactive,0.98,0.52,0,0.17,1.68,90,70,7.9,2280,Firaxis Games,E10+,
56,Sid Meier's Civilization: Beyond Earth,PC,STR,TRUE,2014,2014,15,78,FALSE,Sid Meier's Civilization: Beyond Earth,Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive,0.11,0.22,0,0.03,0.36,81,78,5.5,1027,Firaxis Games,E10+,
57,Sid Meier's Civilization VI,PC,STR,TRUE,2016,2016,300,100,TRUE,Sid Meier's Civilization VI,Sid Meier's Civilization VI,PC,2016,Strategy,Take-Two Interactive,0.09,0.13,0,0.02,0.25,88,81,7.3,684,Firaxis Games,E10+,
